Date,Open,High,Low,Close,Volume,Change
2022-12-01,37650,39100,37450,38350,856426,4.64
2022-12-02,38350,38900,36650,36800,538589,-4.04
2022-12-05,37200,40600,37050,40000,855233,8.7
2022-12-06,39600,40550,39300,39400,357131,-1.5
2022-12-07,38850,39750,38400,38550,301124,-2.16
2022-12-08,38800,40900,38200,40350,606268,4.67
2022-12-09,41200,43000,40350,41050,730294,1.73
2022-12-12,41050,41600,38500,38800,430706,-5.48
2022-12-13,39150,39500,37850,38100,270325,-1.8
2022-12-14,38600,40000,38600,39400,328514,3.41
2022-12-15,40650,40800,38850,38950,337333,-1.14
2022-12-16,37850,38200,37550,37800,358450,-2.95
2022-12-19,37800,37800,36750,36900,321306,-2.38
2022-12-20,36400,37550,36350,36800,288792,-0.27
2022-12-21,37400,38050,37000,37500,277667,1.9
2022-12-22,37850,38250,37450,38050,299445,1.47
2022-12-23,37100,37100,34900,35300,1019659,-7.23
2022-12-26,35150,35600,33500,35400,1067565,0.28
2022-12-27,35400,37100,35400,37100,1295661,4.8
2022-12-28,37200,38900,37000,38300,1573658,3.23
2022-12-29,37950,38550,37600,38250,455707,-0.13
2023-01-02,41000,42100,39350,39600,1371117,3.53
2023-01-03,39100,39600,36200,36300,971198,-8.33
2023-01-04,36150,36500,35250,35600,437418,-1.93
2023-01-05,35950,36500,35200,35200,438493,-1.12
2023-01-06,34900,36050,34450,35550,307183,0.99
2023-01-09,36050,37000,35850,36200,257104,1.83
2023-01-10,35800,35900,34500,34700,521528,-4.14
2023-01-11,35050,35350,34800,34900,290137,0.58
2023-01-12,35300,36000,35150,35750,301383,2.44
2023-01-13,36000,36050,35050,35250,245414,-1.4
2023-01-16,35300,36150,35000,35850,228105,1.7
2023-01-17,35700,35950,35150,35250,257156,-1.67
2023-01-18,35350,36200,35300,35450,214488,0.57
2023-01-19,35100,35200,34700,34850,217931,-1.69
2023-01-20,34750,35000,33750,34000,365843,-2.44
2023-01-25,34250,35050,34200,34650,277847,1.91
2023-01-26,34650,35050,34500,34900,207208,0.72
2023-01-27,35100,36050,34950,35600,311532,2.01
2023-01-30,35600,36450,35100,35100,258771,-1.4
2023-01-31,35650,37650,35500,36700,764949,4.56
2023-02-01,38000,38500,36800,38050,665006,3.68
2023-02-02,38600,42500,38500,41400,1752742,8.8
2023-02-03,41700,42700,40650,41200,770524,-0.48
2023-02-06,41200,41200,39750,40250,435916,-2.31
