ticker,name,signal_date,price,signal,confidence,reasons
005930,삼성전자,2023-01-02,55500,Neutral,45,"[""현재가 55,500원 외에 제공된 기술적 지표, 재무 데이터, 시장 데이터가 없어 방향성 판단의 근거가 부족합니다."", ""과거 주가 추이, PER/PBR 등 밸류에이션 지표, 거래량 변화 등 향후 20거래일 주가 움직임을 예측할 수 있는 정량적 데이터가 제시되지 않았습니다."", ""제공된 정보만으로는 상승 또는 하락의 근거를 객관적으로 입증할 수 없으므로 방향을 확신할 수 없습니다.""]"
005930,삼성전자,2023-02-01,61800,Neutral,45,"[""현재가 61,800원 외에 제공된 기술적·펀더멘탈 데이터가 없어 방향성 판단의 근거가 부족함"", ""차트 패턴, 거래량, 이동평균선, PER/PBR 등 정량적 지표가 제시되지 않아 상승·하락 근거를 확인할 수 없음"", ""거시경제 지표, 산업 동향, 실적 전망 등 외부 요인에 대한 정보 부재로 20거래일 주가 방향을 확신할 수 없음""]"
005930,삼성전자,2023-03-02,60800,Neutral,45,"[""현재가 60,800원 외에 제공된 기술적·펀더멘탈 데이터가 없어 방향성 판단의 근거가 부족함"", ""과거 주가 추이, 거래량, 이동평균선, PER/PBR 등 정량적 지표가 제시되지 않아 상승 또는 하락 근거를 확인할 수 없음"", ""향후 20거래일 주가 방향을 신뢰도 있게 판단하기 위한 최소한의 데이터가 결여되어 있음""]"
005930,삼성전자,2023-04-03,63100,Neutral,45,"[""현재가 63,100원만 제공되었으며, 향후 20거래일 주가 방향을 판단하기 위한 기술적·펀더멘탈 지표가 전혀 제공되지 않았습니다."", ""차트 패턴, 이동평균선, 거래량, PER, PBR 등 의사결정에 필요한 정량적 데이터가 부재합니다."", ""제공된 데이터만으로는 상승 또는 하락의 근거를 구성할 수 없어 방향성을 확신할 수 없습니다.""]"
005930,삼성전자,2023-05-02,65700,Neutral,45,"[""현재가 65,700원 외에 제공된 기술적·펀더멘탈 데이터가 없어 방향성 판단의 근거가 부족함"", ""과거 주가 추이, 거래량, 이동평균선, PER/PBR 등 정량적 지표가 제시되지 않아 상승·하락 근거를 구분할 수 없음"", ""20거래일 투자 방향을 판단하기 위한 최소한의 차트 데이터나 재무지표가 없으므로 확신 있는 신호 도출이 불가능함""]"
005930,삼성전자,2023-06-01,70900,Neutral,45,"[""현재가 70,900원만 제공되었으며, 향후 20거래일 주가 방향을 판단하기 위한 기술적·펀더멘탈 지표가 전혀 제공되지 않았습니다."", ""차트 패턴, 이동평균선, 거래량, PER, PBR 등 의사결정에 필요한 구체적 데이터가 부재합니다."", ""단일 가격 정보만으로는 상승 또는 하락 근거를 객관적으로 도출할 수 없어 방향성을 확신할 수 없습니다.""]"
005930,삼성전자,2023-07-03,73000,Neutral,45,"[""현재가 73,000원만 제공되었으며, 향후 20거래일 주가 방향을 판단하기 위한 기술적·펀더멘탈 데이터가 전혀 제공되지 않았습니다."", ""차트 패턴, 이동평균선, 거래량, PER, PBR 등 정량적 판단 근거가 없어 상승 또는 하락을 확신할 수 없습니다."", ""제공된 데이터의 부족으로 인해 방향성을 확정할 수 없으므로 Neutral이 적절한 판단입니다.""]"
005930,삼성전자,2023-08-01,71100,Neutral,45,"[""현재가 71,100원 외에 제공된 기술적·펀더멘탈 데이터가 없어 방향성 판단의 근거가 부족함"", ""과거 주가 추이, 거래량, 이동평균선, PER/PBR 등 정량적 지표가 제시되지 않아 상승·하락 근거를 구분할 수 없음"", ""거시경제 지표, 산업 전망, 실적 예상 등 외부 요인 정보 부재로 20거래일 방향성을 확신할 수 없음""]"
005930,삼성전자,2023-09-01,71000,Neutral,45,"[""현재가 71,000원만 제공되었으며, 향후 20거래일 주가 방향을 판단하기 위한 기술적·펀더멘탈 지표가 전혀 제공되지 않았습니다."", ""차트 패턴, 거래량, 이동평균선, PER, PBR 등 정량적 판단 근거가 없어 상승 또는 하락을 확신할 수 없습니다."", ""단일 현재가 정보만으로는 향후 20거래일의 방향성을 객관적으로 판단할 수 없으므로 Neutral이 적절한 판단입니다.""]"
005930,삼성전자,2023-10-04,67500,Neutral,45,"[""현재가 67,500원 외에 제공된 기술적·펀더멘탈 데이터가 없어 방향성 판단의 근거가 부족함"", ""과거 주가 추이, 거래량, 이동평균선, PER/PBR 등 정량적 지표가 제시되지 않아 상승 또는 하락 근거를 확립할 수 없음"", ""향후 20거래일 주가 방향을 신뢰도 있게 예측하기 위한 최소한의 데이터 세트가 결여되어 있음""]"
