date,ticker,name,fiscal_period,report_name,revenue,operating_income,net_income,operating_margin,debt_ratio,operating_cashflow,dividend_yield,revenue_yoy,operating_income_yoy
2023-01-02,012450,한화에어로스페이스,2022 3분기,분기보고서,1397696847405.0,64416145127.0,87342510245.0,4.61,185.37,-190783102075.0,,3.97,-23.39
2023-02-01,012450,한화에어로스페이스,2022 3분기,분기보고서,1397696847405.0,64416145127.0,87342510245.0,4.61,185.37,-190783102075.0,,3.97,-23.39
2023-03-02,012450,한화에어로스페이스,2022 3분기,분기보고서,1397696847405.0,64416145127.0,87342510245.0,4.61,185.37,-190783102075.0,,3.97,-23.39
2023-04-03,012450,한화에어로스페이스,2022 연간,사업보고서,6539605817572.0,377215126599.0,152027954710.0,5.77,286.29,1524327091276.0,1.4,18.01,36.13
2023-05-02,012450,한화에어로스페이스,2022 연간,사업보고서,6539605817572.0,377215126599.0,152027954710.0,5.77,286.29,1524327091276.0,1.4,18.01,36.13
2023-06-01,012450,한화에어로스페이스,2023 1분기,분기보고서,1927025485831.0,228541842549.0,475210456767.0,11.86,265.86,-690885729687.0,1.4,65.18,384.72
2023-07-03,012450,한화에어로스페이스,2023 1분기,분기보고서,1927025485831.0,228541842549.0,475210456767.0,11.86,265.86,-690885729687.0,1.4,65.18,384.72
2023-08-01,012450,한화에어로스페이스,2023 1분기,분기보고서,1927025485831.0,228541842549.0,475210456767.0,11.86,265.86,-690885729687.0,1.4,65.18,384.72
2023-09-01,012450,한화에어로스페이스,2023 2분기,반기보고서,1797904528829.0,82944037520.0,302058780840.0,4.61,295.64,909556639043.0,1.4,23.37,-4.9
2023-10-04,012450,한화에어로스페이스,2023 2분기,반기보고서,1797904528829.0,82944037520.0,302058780840.0,4.61,295.64,909556639043.0,1.4,23.37,-4.9
2023-11-01,012450,한화에어로스페이스,2023 2분기,반기보고서,1797904528829.0,82944037520.0,302058780840.0,4.61,295.64,909556639043.0,1.4,23.37,-4.9
2023-12-01,012450,한화에어로스페이스,2023 3분기,분기보고서,1981455997869.0,114668319163.0,6720214011.0,5.79,309.69,564334057563.0,1.4,31.09,80.89
2024-01-02,012450,한화에어로스페이스,2023 3분기,분기보고서,1981455997869.0,114668319163.0,6720214011.0,5.79,309.69,564334057563.0,1.4,31.09,80.89
2024-02-01,012450,한화에어로스페이스,2023 3분기,분기보고서,1981455997869.0,114668319163.0,6720214011.0,5.79,309.69,564334057563.0,1.4,31.09,80.89
2024-03-04,012450,한화에어로스페이스,2023 3분기,분기보고서,1981455997869.0,114668319163.0,6720214011.0,5.79,309.69,564334057563.0,1.4,31.09,80.89
2024-04-01,012450,한화에어로스페이스,2023 연간,사업보고서,9359005981309.0,691114682400.0,976918345793.0,7.38,317.21,1390220003982.0,1.4,32.56,72.63
2024-05-02,012450,한화에어로스페이스,2023 연간,사업보고서,9359005981309.0,691114682400.0,976918345793.0,7.38,317.21,1390220003982.0,1.4,32.56,72.63
2024-06-03,012450,한화에어로스페이스,2024 1분기,분기보고서,1848339988707.0,37409748125.0,2616425155.0,2.02,343.35,-423002341855.0,1.4,-9.3,-83.16
2024-07-01,012450,한화에어로스페이스,2024 1분기,분기보고서,1848339988707.0,37409748125.0,2616425155.0,2.02,343.35,-423002341855.0,1.4,-9.3,-83.16
2024-08-01,012450,한화에어로스페이스,2024 1분기,분기보고서,1848339988707.0,37409748125.0,2616425155.0,2.02,343.35,-423002341855.0,1.4,-9.3,-83.16
2024-09-02,012450,한화에어로스페이스,2024 2분기,반기보고서,2785970699662.0,358774341089.0,159918644744.0,12.88,359.56,-395657612000.0,1.4,46.02,356.69
2024-10-02,012450,한화에어로스페이스,2024 2분기,반기보고서,2785970699662.0,358774341089.0,159918644744.0,12.88,359.56,-395657612000.0,1.4,46.02,356.69
2024-11-01,012450,한화에어로스페이스,2024 2분기,반기보고서,2785970699662.0,358774341089.0,159918644744.0,12.88,359.56,-395657612000.0,1.4,46.02,356.69
2024-12-02,012450,한화에어로스페이스,2024 3분기,분기보고서,2631222072997.0,477225941089.0,318316788279.0,18.14,397.45,-1122868269299.0,1.4,61.91,457.65
2025-01-02,012450,한화에어로스페이스,2024 3분기,분기보고서,2631222072997.0,477225941089.0,318316788279.0,18.14,397.45,-1122868269299.0,1.4,61.91,457.65
2025-02-03,012450,한화에어로스페이스,2024 3분기,분기보고서,2631222072997.0,477225941089.0,318316788279.0,18.14,397.45,-1122868269299.0,1.4,61.91,457.65
2025-03-04,012450,한화에어로스페이스,2024 3분기,분기보고서,2631222072997.0,477225941089.0,318316788279.0,18.14,397.45,-1122868269299.0,1.4,61.91,457.65
2025-04-01,012450,한화에어로스페이스,2024 연간,사업보고서,11240121484118.0,1731878825342.0,2539873460538.0,15.41,281.34,1392972633695.0,1.1,42.47,191.41
2025-05-02,012450,한화에어로스페이스,2024 연간,사업보고서,11240121484118.0,1731878825342.0,2539873460538.0,15.41,281.34,1392972633695.0,1.1,42.47,191.41
2025-06-02,012450,한화에어로스페이스,2025 1분기,분기보고서,5484220608000.0,560746176000.0,209348668000.0,10.22,332.73,-167481125000.0,1.1,278.45,3060.1
2025-07-01,012450,한화에어로스페이스,2025 1분기,분기보고서,5484220608000.0,560746176000.0,209348668000.0,10.22,332.73,-167481125000.0,1.1,278.45,3060.1
