date,ticker,name,fiscal_period,report_name,revenue,operating_income,net_income,operating_margin,debt_ratio,operating_cashflow,dividend_yield,revenue_yoy,operating_income_yoy
2023-01-02,207940,삼성바이오로직스,2022 3분기,분기보고서,873041212601.0,324740504508.0,129164030535.0,37.2,86.88,643894391395.0,,93.69,93.98
2023-02-01,207940,삼성바이오로직스,2022 3분기,분기보고서,873041212601.0,324740504508.0,129164030535.0,37.2,86.88,643894391395.0,,93.69,93.98
2023-03-02,207940,삼성바이오로직스,2022 3분기,분기보고서,873041212601.0,324740504508.0,129164030535.0,37.2,86.88,643894391395.0,,93.69,93.98
2023-04-03,207940,삼성바이오로직스,2022 연간,사업보고서,3001295197683.0,983627394377.0,798056210082.0,32.77,84.56,953047810086.0,,91.41,83.07
2023-05-02,207940,삼성바이오로직스,2022 연간,사업보고서,3001295197683.0,983627394377.0,798056210082.0,32.77,84.56,953047810086.0,,91.41,83.07
2023-06-01,207940,삼성바이오로직스,2023 1분기,분기보고서,720922039328.0,191741706592.0,141755373499.0,26.6,79.5,316730762392.0,,41.0,8.69
2023-07-03,207940,삼성바이오로직스,2023 1분기,분기보고서,720922039328.0,191741706592.0,141755373499.0,26.6,79.5,316730762392.0,,41.0,8.69
2023-08-01,207940,삼성바이오로직스,2023 1분기,분기보고서,720922039328.0,191741706592.0,141755373499.0,26.6,79.5,316730762392.0,,41.0,8.69
2023-09-01,207940,삼성바이오로직스,2023 2분기,반기보고서,866184569567.0,253439139660.0,184885675098.0,29.26,68.64,541959943576.0,,32.97,49.37
2023-10-04,207940,삼성바이오로직스,2023 2분기,반기보고서,866184569567.0,253439139660.0,184885675098.0,29.26,68.64,541959943576.0,,32.97,49.37
2023-11-01,207940,삼성바이오로직스,2023 2분기,반기보고서,866184569567.0,253439139660.0,184885675098.0,29.26,68.64,541959943576.0,,32.97,49.37
2023-12-01,207940,삼성바이오로직스,2023 3분기,분기보고서,1033973428953.0,318531252670.0,240366712046.0,30.81,66.43,833369086692.0,,18.43,-1.91
2024-01-02,207940,삼성바이오로직스,2023 3분기,분기보고서,1033973428953.0,318531252670.0,240366712046.0,30.81,66.43,833369086692.0,,18.43,-1.91
2024-02-01,207940,삼성바이오로직스,2023 3분기,분기보고서,1033973428953.0,318531252670.0,240366712046.0,30.81,66.43,833369086692.0,,18.43,-1.91
2024-03-04,207940,삼성바이오로직스,2023 3분기,분기보고서,1033973428953.0,318531252670.0,240366712046.0,30.81,66.43,833369086692.0,,18.43,-1.91
2024-04-01,207940,삼성바이오로직스,2023 연간,사업보고서,3694588767068.0,1113680009715.0,857691298384.0,30.14,63.23,1666228521442.0,,23.1,13.22
2024-05-02,207940,삼성바이오로직스,2023 연간,사업보고서,3694588767068.0,1113680009715.0,857691298384.0,30.14,63.23,1666228521442.0,,23.1,13.22
2024-06-03,207940,삼성바이오로직스,2024 1분기,분기보고서,946903318921.0,221299256140.0,179361788791.0,23.37,65.06,289843261947.0,,31.35,15.42
2024-07-01,207940,삼성바이오로직스,2024 1분기,분기보고서,946903318921.0,221299256140.0,179361788791.0,23.37,65.06,289843261947.0,,31.35,15.42
2024-08-01,207940,삼성바이오로직스,2024 1분기,분기보고서,946903318921.0,221299256140.0,179361788791.0,23.37,65.06,289843261947.0,,31.35,15.42
2024-09-02,207940,삼성바이오로직스,2024 2분기,반기보고서,1156904189162.0,434510778135.0,317992129218.0,37.56,58.23,529304583486.0,,33.56,71.45
2024-10-02,207940,삼성바이오로직스,2024 2분기,반기보고서,1156904189162.0,434510778135.0,317992129218.0,37.56,58.23,529304583486.0,,33.56,71.45
2024-11-01,207940,삼성바이오로직스,2024 2분기,반기보고서,1156904189162.0,434510778135.0,317992129218.0,37.56,58.23,529304583486.0,,33.56,71.45
2024-12-02,207940,삼성바이오로직스,2024 3분기,분기보고서,1187075475928.0,338578425778.0,264468354037.0,28.52,51.31,1269696518985.0,,14.81,6.29
2025-01-02,207940,삼성바이오로직스,2024 3분기,분기보고서,1187075475928.0,338578425778.0,264468354037.0,28.52,51.31,1269696518985.0,,14.81,6.29
2025-02-03,207940,삼성바이오로직스,2024 3분기,분기보고서,1187075475928.0,338578425778.0,264468354037.0,28.52,51.31,1269696518985.0,,14.81,6.29
2025-03-04,207940,삼성바이오로직스,2024 3분기,분기보고서,1187075475928.0,338578425778.0,264468354037.0,28.52,51.31,1269696518985.0,,14.81,6.29
2025-04-01,207940,삼성바이오로직스,2024 연간,사업보고서,4547322176421.0,1320052380133.0,1083315885986.0,29.03,58.98,1659255402663.0,,23.08,18.53
2025-05-02,207940,삼성바이오로직스,2024 연간,사업보고서,4547322176421.0,1320052380133.0,1083315885986.0,29.03,58.98,1659255402663.0,,23.08,18.53
2025-06-02,207940,삼성바이오로직스,2025 1분기,분기보고서,1298272949854.0,486688724699.0,375553550929.0,37.49,54.58,682981471134.0,,37.11,119.92
2025-07-01,207940,삼성바이오로직스,2025 1분기,분기보고서,1298272949854.0,486688724699.0,375553550929.0,37.49,54.58,682981471134.0,,37.11,119.92
2025-08-01,207940,삼성바이오로직스,2025 1분기,분기보고서,1298272949854.0,486688724699.0,375553550929.0,37.49,54.58,682981471134.0,,37.11,119.92
2025-09-01,207940,삼성바이오로직스,2025 2분기,반기보고서,1289905421405.0,475599675863.0,324386142540.0,36.87,53.18,1206360303902.0,,11.5,9.46
2025-10-01,207940,삼성바이오로직스,2025 2분기,반기보고서,1289905421405.0,475599675863.0,324386142540.0,36.87,53.18,1206360303902.0,,11.5,9.46
2025-11-03,207940,삼성바이오로직스,2025 2분기,반기보고서,1289905421405.0,475599675863.0,324386142540.0,36.87,53.18,1206360303902.0,,11.5,9.46
2025-12-01,207940,삼성바이오로직스,2025 3분기,분기보고서,1660220823312.0,728848136440.0,574459721021.0,43.9,50.56,1825656399313.0,,39.86,115.27
