date,ticker,name,fiscal_period,report_name,revenue,operating_income,net_income,operating_margin,debt_ratio,operating_cashflow,dividend_yield,revenue_yoy,operating_income_yoy
2023-01-02,034020,두산에너빌리티,2022 3분기,분기보고서,3960324122229.0,314569098900.0,144521402375.0,7.94,128.06,555346239384.0,,35.17,40.72
2023-02-01,034020,두산에너빌리티,2022 3분기,분기보고서,3960324122229.0,314569098900.0,144521402375.0,7.94,128.06,555346239384.0,,35.17,40.72
2023-03-02,034020,두산에너빌리티,2022 3분기,분기보고서,3960324122229.0,314569098900.0,144521402375.0,7.94,128.06,555346239384.0,,35.17,40.72
2023-04-03,034020,두산에너빌리티,2022 연간,사업보고서,15421058082388.0,1106120868237.0,-453149865549.0,7.17,128.66,625077721382.0,,40.31,27.23
2023-05-02,034020,두산에너빌리티,2022 연간,사업보고서,15421058082388.0,1106120868237.0,-453149865549.0,7.17,128.66,625077721382.0,,40.31,27.23
2023-06-01,034020,두산에너빌리티,2023 1분기,분기보고서,4041041770152.0,364574487315.0,170714846499.0,9.02,128.62,233046241137.0,,34.98,90.72
2023-07-03,034020,두산에너빌리티,2023 1분기,분기보고서,4041041770152.0,364574487315.0,170714846499.0,9.02,128.62,233046241137.0,,34.98,90.72
2023-08-01,034020,두산에너빌리티,2023 1분기,분기보고서,4041041770152.0,364574487315.0,170714846499.0,9.02,128.62,233046241137.0,,34.98,90.72
2023-09-01,034020,두산에너빌리티,2023 2분기,반기보고서,4539361761447.0,494650309980.0,262790058273.0,10.9,129.49,1258735928367.0,,18.06,50.49
2023-10-04,034020,두산에너빌리티,2023 2분기,반기보고서,4539361761447.0,494650309980.0,262790058273.0,10.9,129.49,1258735928367.0,,18.06,50.49
2023-11-01,034020,두산에너빌리티,2023 2분기,반기보고서,4539361761447.0,494650309980.0,262790058273.0,10.9,129.49,1258735928367.0,,18.06,50.49
2023-12-01,034020,두산에너빌리티,2023 3분기,분기보고서,4154979828838.0,311389399906.0,120356305977.0,7.49,123.45,1412358766519.0,,4.92,-1.01
2024-01-02,034020,두산에너빌리티,2023 3분기,분기보고서,4154979828838.0,311389399906.0,120356305977.0,7.49,123.45,1412358766519.0,,4.92,-1.01
2024-02-01,034020,두산에너빌리티,2023 3분기,분기보고서,4154979828838.0,311389399906.0,120356305977.0,7.49,123.45,1412358766519.0,,4.92,-1.01
2024-03-04,034020,두산에너빌리티,2023 3분기,분기보고서,4154979828838.0,311389399906.0,120356305977.0,7.49,123.45,1412358766519.0,,4.92,-1.01
2024-04-01,034020,두산에너빌리티,2023 연간,사업보고서,17589887709510.0,1467318338124.0,517521903042.0,8.34,127.28,2070633291076.0,,14.06,32.65
2024-05-02,034020,두산에너빌리티,2023 연간,사업보고서,17589887709510.0,1467318338124.0,517521903042.0,8.34,127.28,2070633291076.0,,14.06,32.65
2024-06-03,034020,두산에너빌리티,2024 1분기,분기보고서,4097866699455.0,358070947327.0,261052327026.0,8.74,128.01,344383648968.0,,1.41,-1.78
2024-07-01,034020,두산에너빌리티,2024 1분기,분기보고서,4097866699455.0,358070947327.0,261052327026.0,8.74,128.01,344383648968.0,,1.41,-1.78
2024-08-01,034020,두산에너빌리티,2024 1분기,분기보고서,4097866699455.0,358070947327.0,261052327026.0,8.74,128.01,344383648968.0,,1.41,-1.78
2024-09-02,034020,두산에너빌리티,2024 2분기,반기보고서,4150487340491.0,309790232880.0,220766644214.0,7.46,124.01,-132681704817.0,,-8.57,-37.37
2024-10-02,034020,두산에너빌리티,2024 2분기,반기보고서,4150487340491.0,309790232880.0,220766644214.0,7.46,124.01,-132681704817.0,,-8.57,-37.37
2024-11-01,034020,두산에너빌리티,2024 2분기,반기보고서,4150487340491.0,309790232880.0,220766644214.0,7.46,124.01,-132681704817.0,,-8.57,-37.37
2024-12-02,034020,두산에너빌리티,2024 3분기,분기보고서,3395568929747.0,114789581990.0,-26474411702.0,3.38,122.21,-948035720299.0,,-18.28,-63.14
2025-01-02,034020,두산에너빌리티,2024 3분기,분기보고서,3395568929747.0,114789581990.0,-26474411702.0,3.38,122.21,-948035720299.0,,-18.28,-63.14
2025-02-03,034020,두산에너빌리티,2024 3분기,분기보고서,3395568929747.0,114789581990.0,-26474411702.0,3.38,122.21,-948035720299.0,,-18.28,-63.14
2025-03-04,034020,두산에너빌리티,2024 3분기,분기보고서,3395568929747.0,114789581990.0,-26474411702.0,3.38,122.21,-948035720299.0,,-18.28,-63.14
2025-04-01,034020,두산에너빌리티,2024 연간,사업보고서,16233055000000.0,1017600000000.0,394689000000.0,6.27,125.66,242204000000.0,,-7.71,-30.65
2025-05-02,034020,두산에너빌리티,2024 연간,사업보고서,16233055000000.0,1017600000000.0,394689000000.0,6.27,125.66,242204000000.0,,-7.71,-30.65
