date,ticker,name,fiscal_period,report_name,revenue,operating_income,net_income,operating_margin,debt_ratio,operating_cashflow,dividend_yield,revenue_yoy,operating_income_yoy
2023-01-02,005930,삼성전자,2022 3분기,분기보고서,76781680000000.0,10852045000000.0,9389198000000.0,14.13,36.35,43568446000000.0,1.8,3.79,-31.39
2023-02-01,005930,삼성전자,2022 3분기,분기보고서,76781680000000.0,10852045000000.0,9389198000000.0,14.13,36.35,43568446000000.0,1.8,3.79,-31.39
2023-03-02,005930,삼성전자,2022 3분기,분기보고서,76781680000000.0,10852045000000.0,9389198000000.0,14.13,36.35,43568446000000.0,1.8,3.79,-31.39
2023-04-03,005930,삼성전자,2022 연간,사업보고서,302231360000000.0,43376630000000.0,55654077000000.0,14.35,26.41,62181346000000.0,2.5,8.09,-15.99
2023-05-02,005930,삼성전자,2022 연간,사업보고서,302231360000000.0,43376630000000.0,55654077000000.0,14.35,26.41,62181346000000.0,2.5,8.09,-15.99
2023-06-01,005930,삼성전자,2023 1분기,분기보고서,63745371000000.0,640178000000.0,1574600000000.0,1.0,26.21,6291774000000.0,2.5,-18.05,-95.47
2023-07-03,005930,삼성전자,2023 1분기,분기보고서,63745371000000.0,640178000000.0,1574600000000.0,1.0,26.21,6291774000000.0,2.5,-18.05,-95.47
2023-08-01,005930,삼성전자,2023 1분기,분기보고서,63745371000000.0,640178000000.0,1574600000000.0,1.0,26.21,6291774000000.0,2.5,-18.05,-95.47
2023-09-01,005930,삼성전자,2023 2분기,반기보고서,60005533000000.0,668547000000.0,1723571000000.0,1.11,24.8,14461689000000.0,2.5,-22.28,-95.26
2023-10-04,005930,삼성전자,2023 2분기,반기보고서,60005533000000.0,668547000000.0,1723571000000.0,1.11,24.8,14461689000000.0,2.5,-22.28,-95.26
2023-11-01,005930,삼성전자,2023 2분기,반기보고서,60005533000000.0,668547000000.0,1723571000000.0,1.11,24.8,14461689000000.0,2.5,-22.28,-95.26
2023-12-01,005930,삼성전자,2023 3분기,분기보고서,67404652000000.0,2433534000000.0,5844171000000.0,3.61,24.89,24192198000000.0,2.5,-12.21,-77.58
