ticker,name,signal_date,price,signal,confidence,reasons
005930,삼성전자,2023-01-02,55500,Sell,75,"[""최근 1개월 수익률이 -11.34%로 단기 하락 추세가 매우 강하게 나타나고 있습니다."", ""거래량 변화율이 -18.94%로 감소하며 하락세를 반전시킬 매수 지지력이 부족한 상태입니다."", ""52주 내 현재 위치가 10.4%로 최저가에 근접해 있으나, 추세 전환을 뒷받침할 기술적 근거가 데이터상에 존재하지 않습니다.""]"
005930,삼성전자,2023-02-01,61800,Buy,82,"[""최근 1개월 수익률 11.75% 상승과 거래량 변화율 47.34% 증가가 동시에 나타나며 강한 단기 상승 모멘텀을 보이고 있습니다."", ""현재가(61,800원)가 최근 애널리스트 리포트들의 평균 목표주가(80,000원) 대비 약 29%의 상승 여력을 가지고 있습니다."", ""PBR 1.25배의 낮은 밸류에이션과 52주 내 현재 위치가 40.4%로 저점 부근에 있어 가격 메리트가 충분합니다.""]"
005930,삼성전자,2023-03-02,60800,Buy,82,"[""현재가(60,800원)가 최근 5건의 애널리스트 목표주가 범위(72,000원~90,000원)보다 현저히 낮아 상승 여력이 큼"", ""PER 9.9 및 PBR 1.23의 낮은 밸류에이션과 ROE 12.5%의 수익성이 조화를 이루어 가격 매력도가 높음"", ""최근 리포트에서 언급된 업계 공급 조절 및 감산 계획이 향후 주가에 긍정적인 촉매제로 작용할 가능성이 높음""]"
005930,삼성전자,2023-04-03,63100,Buy,88,"[""PER 7.8, PBR 1.24의 낮은 밸류에이션과 ROE 15.8%의 수익성이 결합되어 저평가 상태로 판단됨"", ""최근 1개월 수익률 4.30%와 거래량 증가(3.55%)가 나타나며 단기적인 상승 모멘텀이 형성됨"", ""최근 30일 내 발행된 5건의 리포트 목표주가(75,000원~82,000원)가 현재가(63,100원) 대비 상방 잠재력이 매우 높음""]"
005930,삼성전자,2023-05-02,65700,Buy,85,"[""PER 8.2와 ROE 15.8%의 지표는 기업의 수익성 대비 현재 주가가 저평가되어 있음을 나타냅니다."", ""최근 5건의 애널리스트 리포트 모두 2Q23 실적 저점 통과 및 반등을 예상하며, 최저 목표주가(78,000원)가 현재가보다 상당히 높습니다."", ""최근 1개월 수익률이 양수(+)이며 거래량 변화율이 18.24% 증가하여 주가 상승 모멘텀이 강화되고 있습니다.""]"
005930,삼성전자,2023-06-01,70900,Buy,78,"[""애널리스트 목표주가(82,000원~90,000원)가 현재가(70,900원) 대비 상당한 상승 여력을 제시하고 있음"", ""ROE 12.9%와 PER 10.7로 수익성이 양호하며 밸류에이션 측면에서 저평가 매력이 존재함"", ""최근 1개월 수익률이 8.24%를 기록하며 단기적인 주가 상승 모멘텀이 확인됨""]"
005930,삼성전자,2023-07-03,73000,Sell,75,"[""현재가가 52주 최고가인 73,000원에 도달하여 52주 내 위치가 100%로 단기 고점 부담이 매우 높음"", ""거래량 변화율이 -8.80%로 감소하며 주가 상승을 뒷받침할 모멘텀이 약화되는 추세임"", ""최근 애널리스트 리포트에서 MX 부문의 위기를 언급하며 사업적 리스크를 제시함""]"
005930,삼성전자,2023-08-01,71100,Buy,85,"[""최근 5건의 애널리스트 리포트 목표주가가 87,000원에서 95,000원으로 현재가(71,100원) 대비 상당한 상승 여력을 보이고 있습니다."", ""3분기 DRAM 및 4분기 DS 부문의 영업흑자 전환 전망 등 구체적인 실적 개선 모멘텀이 제시되었습니다."", ""PER 10.7, ROE 12.9%의 양호한 재무 지표와 더불어 거래량 변화율이 19.54% 증가하며 시장의 관심도가 높아지고 있습니다.""]"
005930,삼성전자,2023-09-01,71000,Sell,75,"[""현재가가 52주 최고가(73,400원)에 근접한 88.5% 위치에 있어 단기적인 가격 저항 가능성이 높습니다."", ""거래량 변화율이 -19.74%로 감소하며 주가 상승을 견인할 매수 동력이 약화되었습니다."", ""최근 1개월 수익률이 1.57%로 매우 낮아, 고점 부근에서 상승 모멘텀이 정체된 상태입니다.""]"
005930,삼성전자,2023-10-04,67500,Buy,85,"[""최근 5건의 애널리스트 리포트 모두 목표주가를 90,000원~95,000원으로 제시하여 현재가(67,500원) 대비 상승 여력이 매우 높음"", ""메모리 반도체 업황 회복, DRAM 이익 개선 및 가격 상승 전환 등 펀더멘털 개선 신호가 리포트를 통해 일관되게 확인됨"", ""최근 1개월 수익률은 0.60%로 정체되어 있으나, 거래량 변화율이 32.09% 증가하며 주가 반등을 위한 수급 개선 조짐이 나타남""]"
