ticker,name,signal_date,cur_price,return_pct,excess_return_pct
005930,삼성전자,2023-01-10,60500,3.8,-0.87
005930,삼성전자,2023-03-22,62300,4.82,-0.9
005930,삼성전자,2023-05-04,65900,7.74,3.66
005930,삼성전자,2023-05-19,68500,2.92,1.92
005930,삼성전자,2023-06-27,72700,-3.99,-5.09
005930,삼성전자,2023-07-17,72000,-6.94,-3.8
005930,삼성전자,2023-09-01,71200,-7.3,-0.5
005930,삼성전자,2023-10-18,69500,4.75,1.75
005930,삼성전자,2023-11-03,70900,2.4,1.9
005930,삼성전자,2023-12-12,72800,1.51,0.9
005930,삼성전자,2024-02-02,74300,-2.83,-5.0
005930,삼성전자,2024-03-14,72300,13.69,13.56
005930,삼성전자,2024-05-09,79200,-5.05,-4.23
005930,삼성전자,2024-06-14,78100,11.01,6.75
005930,삼성전자,2024-08-21,78300,-19.28,-16.48
005930,삼성전자,2024-11-25,58300,-6.69,-3.52
005930,삼성전자,2024-12-17,54900,-2.73,-4.17
005930,삼성전자,2025-01-07,57300,-2.79,-3.51
005930,삼성전자,2025-02-11,55800,-1.97,-2.96
005930,삼성전자,2025-03-18,58500,-6.5,0.4
005930,삼성전자,2025-04-29,55500,2.34,-3.23
005930,삼성전자,2025-05-13,57400,1.57,-8.05
005930,삼성전자,2025-06-02,57800,10.38,-2.09
005930,삼성전자,2025-09-10,73400,33.11,21.02
005930,삼성전자,2025-11-13,97200,12.04,8.16
005930,삼성전자,2025-12-01,103400,24.27,16.4
000660,SK하이닉스,2023-01-06,86000,10.35,4.67
000660,SK하이닉스,2023-03-24,85500,1.99,-2.76
000660,SK하이닉스,2023-05-02,89800,22.83,18.83
000660,SK하이닉스,2023-05-17,93600,22.65,18.91
000660,SK하이닉스,2023-07-03,117900,6.11,3.26
000660,SK하이닉스,2023-07-17,117800,-1.7,1.45
000660,SK하이닉스,2023-07-27,128000,-9.45,-6.96
000660,SK하이닉스,2023-08-30,121800,-5.25,0.64
000660,SK하이닉스,2023-09-15,119000,4.2,12.66
000660,SK하이닉스,2023-10-10,119200,7.05,8.21
000660,SK하이닉스,2023-11-06,130400,-3.45,-5.51
000660,SK하이닉스,2023-11-30,132600,3.17,-0.92
000660,SK하이닉스,2023-12-14,140000,-6.43,-1.45
000660,SK하이닉스,2024-01-23,141500,14.06,6.05
000660,SK하이닉스,2024-02-08,150000,9.07,7.41
000660,SK하이닉스,2024-03-22,169400,0.94,5.13
000660,SK하이닉스,2024-05-13,185300,19.81,18.91
000660,SK하이닉스,2024-08-19,199700,-21.33,-17.5
000660,SK하이닉스,2024-09-26,183800,6.09,8.21
000660,SK하이닉스,2024-11-07,200500,-16.66,-11.47
000660,SK하이닉스,2024-12-11,176100,10.73,10.12
000660,SK하이닉스,2025-01-03,199800,1.6,0.26
000660,SK하이닉스,2025-02-18,218500,-3.89,-2.6
000660,SK하이닉스,2025-03-18,205500,-15.33,-8.44
000660,SK하이닉스,2025-04-28,180800,13.11,7.95
000660,SK하이닉스,2025-08-13,276500,18.81,13.54
000660,SK하이닉스,2025-08-29,256000,36.33,27.16
000660,SK하이닉스,2025-09-05,277000,49.82,38.48
000660,SK하이닉스,2025-12-10,565000,30.62,16.46
000660,SK하이닉스,2025-12-22,584000,31.34,10.14
207940,삼성바이오로직스,2023-01-02,1181810,1.12,-10.16
