ticker,name,signal_date,price,per,pbr,roe,market_cap,signal,confidence,reasons,return_5d,return_20d
005930,삼성전자,2023-01-02,55400,9.61,1.08,11.24,328539904671000.0,Neutral,40,"[""현재가(55,400원)가 52주 최저가(52,600원)에 근접해 있어 하방 경직 가능성을 시사하지만, 52주 최고가(80,500원) 대비로는 여전히 높은 수준입니다."", ""최근 1개월 수익률(-11.34%)과 거래량 변화율(-18.94%)이 모두 하락세를 나타내고 있어 단기적인 하락 압력이 존재합니다."", ""PER(9.6)은 낮지만, PBR(1.08)과 ROE(11.2%)는 양호한 수준으로 재무적인 매력과 기술적인 하락 압력이 혼재되어 있어 명확한 방향성 판단이 어렵습니다.""]",9.025270758122744,14.620938628158845
005930,삼성전자,2023-02-01,63500,10.7,1.2,11.21,365833623579600.0,Buy,75,"[""최근 1개월 수익률이 11.75%로 강한 상승세를 보이고 있으며, 거래량 변화율도 47.34%로 증가하여 매수세 유입이 활발함을 시사합니다."", ""현재 주가가 52주 최저가 대비 약 20.7% 상승한 63,500원으로, 52주 최고가 대비로는 약 15.8% 하락한 수준으로, 추가 상승 여력이 존재한다고 판단됩니다."", ""PER 10.7, PBR 1.20, ROE 11.2% 등 재무 지표가 양호한 수준으로, 기업의 내재가치 대비 저평가 가능성을 시사하며 이는 주가 상승의 기반이 될 수 있습니다.""]",-0.7874015748031495,-4.724409448818897
005930,삼성전자,2023-03-02,60500,10.52,1.18,11.22,359913985657600.0,Neutral,40,"[""현재가(60,500원)는 52주 최저가(52,600원) 대비 상승했으나 최고가(72,900원) 대비로는 상당한 하락폭을 보이며 52주 내 중간 지점에 위치하고 있어 명확한 추세 판단이 어렵습니다."", ""최근 1개월 수익률이 -0.33%로 소폭 하락했으며, 거래량 변화율 또한 -18.98%로 감소하여 투자 심리가 위축된 것으로 보입니다."", ""PER, PBR, ROE 등 재무 지표는 양호한 편이나, 단기적인 기술 지표의 약세와 시장 전반의 불확실성을 고려할 때 20거래일 내 뚜렷한 상승 또는 하락을 예측하기 어렵습니다.""]",-1.6528925619834711,5.785123966942149
005930,삼성전자,2023-04-03,63600,7.83,1.05,13.41,373529152878200.0,Neutral,50,"[""PER, PBR, ROE 등 재무 지표는 양호하나, 52주 최고가 대비 현재 위치가 다소 높아 추가 상승 여력이 제한적일 수 있습니다."", ""최근 1개월 수익률이 긍정적이고 거래량 변화율도 소폭 상승했지만, 시장 전반의 불확실성이 존재하여 뚜렷한 방향성을 예측하기 어렵습니다."", ""삼성전자는 대형주로서 거시 경제 지표 및 반도체 업황 등 다양한 외부 요인에 영향을 받으므로, 단기 20거래일 내 명확한 상승 또는 하락을 단정하기 어렵습니다.""]",3.6163522012578615,2.8301886792452833
005930,삼성전자,2023-05-02,65400,8.15,1.1,13.5,388920211475400.0,Buy,75,"[""현재가 65,400원은 52주 최고가 68,100원에 근접해 있으며, 52주 내 위치가 84.5%로 높은 편입니다."", ""최근 1개월 수익률 2.66%와 거래량 변화율 18.24%는 긍정적인 모멘텀을 시사합니다."", ""PER 8.2, PBR 1.10, ROE 13.5% 등 재무 지표는 삼성전자가 여전히 저평가된 우량주임을 나타냅니다.""]",-1.834862385321101,10.397553516819572
005930,삼성전자,2023-06-01,72200,8.8,1.18,13.41,419702328669800.0,Buy,75,"[""현재가 72,200원이 52주 최고가 72,300원에 근접하여 상승 모멘텀이 강하게 나타나고 있습니다."", ""최근 1개월 수익률 8.24%로 단기 상승 추세가 확인됩니다."", ""PBR 1.18, ROE 13.4% 등 재무 지표가 양호하며, PER 8.8은 시장 대비 저평가 가능성을 시사합니다.""]",-1.662049861495845,1.10803324099723
005930,삼성전자,2023-07-03,73000,9.06,1.22,13.47,432133568306000.0,Neutral,50,"[""현재가 52주 최고가와 일치하며 기술적 저항에 직면할 가능성이 있습니다."", ""최근 1개월 수익률은 긍정적이나 거래량 변화율이 감소하고 있어 상승 동력이 약화될 수 있습니다."", ""PER, PBR, ROE 등 재무지표는 양호하나, 단기적인 시장 상황 및 투자 심리에 따라 방향성이 결정될 것으로 보입니다.""]",-2.054794520547945,-2.6027397260273974
005930,삼성전자,2023-08-01,69900,8.82,1.19,13.49,420886256254200.0,Neutral,60,"[""현재가 69,900원은 52주 최고가 73,400원에 근접해 있어 단기 상승 여력이 제한적일 수 있습니다."", ""최근 1개월 수익률이 -2.60%로 약세를 보이고 있으나, 거래량 변화율이 19.54%로 증가하며 매수세 유입 가능성을 시사합니다."", ""PER 8.8, PBR 1.19, ROE 13.5% 등 재무지표는 안정적인 수준으로 판단되나, 단기적인 시장 방향성에 따라 주가 흐름이 결정될 것으로 보입니다.""]",-1.4306151645207439,-4.291845493562231
005930,삼성전자,2023-09-01,71200,8.81,1.18,13.39,420294292462000.0,Neutral,60,"[""삼성전자는 52주 최고가 대비 현재 위치가 높아 추가 상승 여력이 제한적일 수 있습니다."", ""최근 1개월 수익률은 소폭 상승했으나, 거래량 변화율이 감소하는 추세는 매수세 약화를 시사합니다."", ""PER, PBR, ROE 등 재무지표는 양호한 편이나, 단기적인 시장 방향성을 명확히 제시하기에는 기술적 지표의 신호가 혼조세를 보입니다.""]",-0.5617977528089888,-7.303370786516854
005930,삼성전자,2023-10-04,66700,8.38,1.13,13.48,399575559735000.0,Neutral,50,"[""삼성전자는 현재 52주 최고가 대비 하락한 상태이며, 최근 1개월 수익률이 소폭 상승에 그쳐 뚜렷한 상승 모멘텀을 보여주지 못하고 있습니다."", ""거래량 변화율이 32.09%로 증가한 점은 긍정적이나, 이것이 추세 전환을 의미하기에는 아직 불확실성이 존재합니다."", ""PER, PBR, ROE 등의 재무 지표는 안정적인 수준을 나타내고 있으나, 단기적인 시장 흐름을 예측하기에는 기술적 지표의 신호가 명확하지 않습니다.""]",1.9490254872563717,4.3478260869565215
005930,삼성전자,2023-11-01,69700,8.51,1.14,13.4,406087161449200.0,Neutral,50,"[""PER, PBR, ROE 등 재무 지표는 현재 삼성전자가 저평가되어 있거나 적정 가치 수준에 있음을 시사하지만, 뚜렷한 상승 모멘텀을 보여주지는 못하고 있습니다."", ""52주 최고가 대비 현재 위치는 73.5%로, 여전히 상승 여력이 남아있다고 볼 수 있으나 최근 1개월 수익률이 0.00%로 정체된 흐름을 보이고 있습니다."", ""거래량 변화율이 1.45%로 미미하여 투자자들의 관심이나 매수세가 강하게 유입되고 있다고 판단하기 어렵습니다.""]",0.860832137733142,4.447632711621234
005930,삼성전자,2023-12-01,72600,8.94,1.2,13.42,426213930384000.0,Neutral,60,"[""현재가 72,600원은 52주 최고가 73,400원에 근접하여 추가 상승 여력이 제한적일 수 있습니다."", ""최근 1개월 수익률은 3.30%로 긍정적이나, 거래량 변화율이 -16.55%로 감소하는 추세는 매수세 약화를 시사합니다."", ""PER 8.9, PBR 1.20, ROE 13.4% 등 재무 지표는 양호하나, 단기적인 기술적 지표에서 방향성을 명확히 판단하기 어렵습니다.""]",0.5509641873278237,5.5096418732782375
005930,삼성전자,2024-01-02,77000,9.88,1.33,13.46,471203178591200.0,Buy,75,"[""현재가 77,000원이 52주 최고가 79,600원에 근접하며 상승 추세가 이어질 가능성을 시사합니다."", ""최근 1개월 수익률 9.49%는 단기적으로 긍정적인 모멘텀을 보여주고 있습니다."", ""거래량 변화율 11.79%는 시장의 관심이 증가하고 있음을 나타내며, 이는 추가 상승 동력으로 작용할 수 있습니다.""]",-4.415584415584416,-5.584415584415584
