date,title,firm,target_price,opinion,nid
2023-01-06,일회성 이슈로 부진할 4Q22,신한투자증권,620000.0,매수,61873
2023-01-10,예상보다 컸던 일회성 비용,DS투자증권,600000.0,Buy,61956
2023-01-10,4Q22 잠정실적 발표 요약,교보증권,,,61955
2023-01-10,판가 하락 및 1회성 비용으로 수익성 악화,하나증권,620000.0,Buy,61953
2023-01-10,높아진 눈높이와 넘어야 할 산,유진투자증권,520000.0,Buy,61942
2023-01-10,일회성 비용으로 단기 수익성 악화,키움증권,640000.0,Buy,61939
2023-01-10,4Q22 Review: 실적은 이미 지나간 이슈,유안타증권,718000.0,Buy,61931
2023-01-17,2023년 미국 중심 외형성장 본격화,유안타증권,718000.0,Buy,62054
2023-01-30,예상보다 공격적인 시장 전망,DS투자증권,600000.0,Buy,62321
2023-01-30,4Q22 Review: 일회성 비용으로 컨센하회,교보증권,600000.0,Buy,62315
2023-01-30,실적 추정치 상향 조정 가능성,하나증권,620000.0,Buy,62306
2023-01-30,계절적 비수기에도 Q 증가 지속,한화투자증권,620000.0,Buy,62296
2023-01-30,23년에도 EV 수요 걱정 없다,대신증권,600000.0,Buy,62291
2023-01-30,22년 7월의 데자뷰: 목표주가 75만원 유지,미래에셋증권,750000.0,매수,62283
2023-01-30,3월 IRA 수혜 강도 확정 여부에 주목,하이투자증권,630000.0,Buy,62276
2023-01-30,공포의 끝자락?,신한투자증권,620000.0,매수,62270
2023-01-30,미국을 중심으로 성장 지속 전망,유진투자증권,520000.0,Buy,62260
2023-01-30,높은 수주잔고 기반 수익성 중심의 성장 기대,키움증권,640000.0,Buy,62252
2023-01-30,2023년에도 2차전지 주도주,유안타증권,718000.0,Buy,62240
2023-01-31,2023년 판매 고객사에 따른 실적 차별화,메리츠증권,680000.0,Buy,62364
2023-02-01,Tesla는 거들 뿐,현대차증권,675000.0,Buy,62406
2023-03-22,1Q23 Preview: 시장 예상치 상회 전망,미래에셋증권,750000.0,매수,63473
2023-03-27,미국 애리조나 투자 확대 결정,대신증권,650000.0,Buy,63522
2023-03-27,AMPC 기대감 고조,한화투자증권,660000.0,Buy,63519
2023-03-30,결전 전야,신한투자증권,700000.0,매수,63563
2023-04-10,AMPC 반영으로 기대치 크게 상회,DS투자증권,700000.0,Buy,63793
2023-04-10,LG전자_1Q23 잠정실적 발표 요약,교보증권,,,63791
2023-04-10,AMPC 효과를 일부 선반영했던 Valuation Prem..,하나증권,750000.0,Buy,63786
2023-04-10,1Q23 잠정실적 코멘트 - AMPC 반영하며 중장..,한화투자증권,660000.0,Buy,63779
2023-04-10,AMPC 반영 효과 23~25년 5.8조원,대신증권,750000.0,Buy,63776
2023-04-10,이유 있는 품절주,신한투자증권,700000.0,매수,63772
2023-04-10,"더 결정적인 결정, 목표주가 상향",미래에셋증권,900000.0,매수,63757
2023-04-10,AMPC 효과로 중장기 실적 성장 기대치 상승,키움증권,,,63753
2023-04-10,"AMPC 효과, 놀라긴 이르다",하이투자증권,770000.0,Buy,63744
2023-04-10,1Q23 Review: 어닝 서프라이즈 기록,유안타증권,718000.0,Buy,63739
2023-04-10,AMPC 반영 시작,유진투자증권,732000.0,Buy,63736
2023-04-11,수주 모멘텀 계속될 수 밖에 없는 이유,유안타증권,761000.0,Buy,63819
2023-04-27,실적이 좋았고 전망도 좋다,DS투자증권,750000.0,매수,64258
2023-04-27,"1Q23 Review: AMPC 반영, 서프라이즈",교보증권,700000.0,Buy,64252
2023-04-27,비중 확대 구간,하나증권,750000.0,Buy,64241
2023-04-27,점유율 확대 시기에 AMPC를 더하다,한화투자증권,730000.0,Buy,64229
2023-04-27,IRA가 남길 것들,대신증권,750000.0,Buy,64217
2023-04-27,AMPC 예산 상한선 정말 없을지도,하이투자증권,770000.0,Buy,64201
2023-04-27,뜯어보니 더 좋음,신한투자증권,700000.0,매수,64188
2023-04-27,북미 시장 선점을 통한 실적 성장 본격화,키움증권,730000.0,Buy,64172
2023-04-27,1Q23 실적 발표 컨퍼런스콜,유진투자증권,732000.0,Buy,64165
2023-05-23,글로벌 2차전지 대장주,SK증권,680000.0,매수,65213
2023-06-23,"우호적인 업황, 그러나 AMPC 불확실성 상존",한화투자증권,730000.0,Buy,65664
2023-07-03,"실적, 주가 모두 쉬어가는 시기",하이투자증권,750000.0,Buy,65821
2023-07-05,2Q23 Preview: 컨센하회,교보증권,700000.0,Buy,65881
2023-07-06,북미 EV 배터리 대장,대신증권,750000.0,Buy,65908
2023-07-07,2Q23 preview - 고객사 구매 지연 영향,삼성증권,740000.0,Buy,65942
2023-07-10,실적은 기대치 하회. 관건은 수요 확인,DS투자증권,750000.0,매수,65992
2023-07-10,2Q23 잠정실적 코멘트 - GM향 출하 차질로 AM..,한화투자증권,730000.0,Buy,65968
2023-07-10,하반기 실적 전망치 하향 조정,하이투자증권,750000.0,Buy,65964
2023-07-10,ASP 하락 및 고객사 구매 속도 조절에 따른 ..,키움증권,,,65951
2023-07-10,무난한 실적,유진투자증권,732000.0,Buy,65946
2023-07-28,2Q23 Review: 컨센서스 하회,교보증권,700000.0,Buy,66669
2023-07-28,"2분기 수익성 훼손, 하반기 개선 전망",하나증권,750000.0,Buy,66647
2023-07-28,"칫한 3분기, 4분기 회복에 주목",한화투자증권,730000.0,Buy,66629
