date,title,firm,target_price,opinion,nid
2023-01-16,원래 배당은 KB였음,대신증권,65000,Buy,62039
2023-02-08,주주환원 기대에 부합,DS투자증권,70000,Buy,62661
2023-02-08,"사상 최대 실적, 높아진 주주환원, Top picks..",교보증권,70000,Buy,62660
2023-02-08,전반적으로 아쉬운 실적. DPS도 예상치 하회,하나증권,73000,Buy,62649
2023-02-08,보수적 비용인식,이베스트증권,66000,Buy,62644
2023-02-08,주주(株主) 환원책이 주(主),한화투자증권,72000,Buy,62636
2023-02-08,KB는 호락호락하지 않지,대신증권,65000,Buy,62632
2023-02-08,현실적인 방안을 제시,유안타증권,70000,Buy,62620
2023-02-08,시대적 요구에 부응한 주주환원정책 발표,신한투자증권,65000,매수,62614
2023-03-30,상대적으로 가장 안정적인 펀더멘털 유지 예..,하나증권,73000,Buy,63574
2023-04-05,뒷심을 발휘하는 구간,대신증권,60000,Buy,63662
2023-04-11,"사라(Buy)있네, 이익 체력",미래에셋증권,62000,매수,63795
2023-04-28,"수익다변화 효과 지속 중, 업종내 Top picks ..",교보증권,70000,Buy,64423
2023-04-28,핵심이익 둔화와 비용부담 확대,이베스트증권,60000,Buy,64378
2023-04-28,"복잡하지만, 결과적으로 기대에 부합",한화투자증권,72000,Buy,64361
2023-04-28,대손비용 전망의 어려움,대신증권,60000,Buy,64347
2023-04-28,한층 더 견고해진 펀더멘탈,신한투자증권,62000,매수,64340
2023-04-28,선제 적립 감안해도 높은 대손비용률,유안타증권,63000,Buy,64290
2023-05-04,헷갈리면 일단 KB 를 사라,SK증권,62000,매수,64603
2023-06-21,확실히 탄탄한 펀더멘탈,대신증권,60000,Buy,65608
2023-06-28,압도적인 펀더멘털 유지. 2분기 실적도 매우 ..,하나증권,63000,Buy,65732
2023-06-30,현재로선 최선의 선택지,신한투자증권,62000,매수,65789
2023-07-21,안정감이 돋보인다,미래에셋증권,63000,매수,66256
2023-07-26,가뭄 속에 단비와 같은 선물보따리. 최선호주..,하나증권,63000,Buy,66378
2023-07-26,돋보인 이익안정성,이베스트증권,58000,Buy,66374
2023-07-26,경쟁사 대비 여전히 높은 배당 매력,한화투자증권,72000,Buy,66372
2023-07-26,우수한 실적과 시원한 배당,대신증권,60000,Buy,66371
2023-07-26,이익 창출력과 주주환원 의지 증명,미래에셋증권,63000,매수,66367
2023-07-26,2Q23 Review: 빛나는 이익 체력,SK증권,62000,매수,66363
2023-07-26,부족함이 없었던 2분기,신한투자증권,62000,매수,66351
2023-07-26,경상 대손비용 상승에도 추정치 상회,유안타증권,63000,Buy,66348
2023-07-26,더할 나위 없는 실적,키움증권,66000,Buy,66346
2023-07-27,독보적인 행보 지속,DS투자증권,70000,매수,66498
2023-08-11,2023년 2분기 순이자마진 개선세 지속하면서 ..,교보증권,70000,Buy,67286
2023-09-11,NIM 상승 추세 지속. 지배구조 불확실성도 해..,하나증권,68000,Buy,67772
2023-10-10,3Q23 Preview: 업종 내 가장 안전한 선택지,SK증권,70000,매수,68117
2023-10-25,높은 수익성을 담보할 수 있는 매우 안정적인..,하나증권,68000,Buy,68494
2023-10-25,핵심이익 증가와 비용부담 완화,이베스트증권,66000,Buy,68488
2023-10-25,자사주 매입 지속 주당 지표의 우위 전망,한화투자증권,72000,Buy,68485
2023-10-25,쉽지 않은 환경에서 잘 버텨주고 있음,대신증권,70000,Buy,68482
2023-10-25,남다른 안정감,미래에셋증권,72000,매수,68476
2023-10-25,3Q23 Review: 어려운 환경 속에서도 안정적으..,SK증권,70000,매수,68468
2023-10-25,실적과 주주가치의 선순환 구조 확립,신한투자증권,67000,매수,68463
2023-10-25,일회성 손실에도 견조한 실적 유지,유안타증권,63000,Buy,68460
2023-10-25,다소 아쉽지만 연간 이익증가에는 이상 없음,키움증권,70000,Buy,68457
2023-11-09,은행의 가장 큰 미덕은 안정성,SK증권,70000,매수,69287
2024-01-12,펀더멘털에는 이상이 없지만,SK증권,65000,매수,70547
2024-02-08,경상 이익 체력은 확고한 수준. ELS 관련 불..,하나증권,79000,Buy,71577
2024-02-08,"여전한 저PBR, 배당보다는 자사주",한화투자증권,82000,Buy,71568
2024-02-08,주주환원은 업계 Top 수준,DS투자증권,77000,매수,71560
2024-02-08,불확실성의 싹을 제거,대신증권,77000,Buy,71551
2024-02-08,어려운 환경에도 흔들림 없는 펀더멘털,SK증권,75000,매수,71530
2024-02-08,높아진 주주환원율에 주목,신한투자증권,77000,매수,71501
2024-02-08,"이익과 자본, 넉넉한 살림",키움증권,83000,Buy,71471
2024-02-13,우수한 자본력을 바탕으로 지속가능성 높은 ..,교보증권,80000,Buy,71687
2024-02-13,업종 최고의 주주환원율 지속,유안타증권,76000,Buy,71607
2024-03-19,ELS 이슈 감안해도 견조한 주주 환원 예상,SK증권,86000,매수,72271
2024-04-09,대규모 손실을 가정해도 단단한 체력,한화투자증권,93000,Buy,72613
2024-04-26,기대에 부흥하는 ‘주주환원 리딩’ 뱅크,DS투자증권,84000,매수,73171
2024-04-26,1Q24 Review: 적극적인 주주환원 정책이 주는..,교보증권,80000,Buy,73161
2024-04-26,지속될 수 밖에 없는 리딩뱅크 프리미엄,하나증권,93000,Buy,73154
2024-04-26,보다 명확해진 배당 기조가 긍정적,한화투자증권,93000,Buy,73138
2024-04-26,"폭풍은 지나갔고, 끄떡 없습니다.",키움증권,96000,Buy,73108
2024-04-26,건강한 이익 체력에 건강한 주주 환원이 깃든..,SK증권,88000,매수,73104
2024-04-26,밸류업 대장주의 위엄,신한투자증권,83000,매수,73087
2024-04-26,1Q24 Review: 새로운 주주환원정책 발표,IBK투자증권,86000,매수,73073
2024-05-09,실적과 주주 환원의 쌍두마차,SK증권,88000,매수,73732
2024-07-04,이제 PBR 0.53배. 아직도 갈길은 멀다,하나증권,102000,Buy,74998
2024-07-15,2Q24 Preview: 총주주환원율 40% 기대,IBK투자증권,103000,매수,75240
2024-07-24,기대를 아득히 뛰어 넘는 실적,DS투자증권,105000,매수,75513
2024-07-24,"2Q24 Review: 예상을 상회하는 실적, 멋진 자..",교보증권,100000,Buy,75511
2024-07-24,실적 서프라이즈에 주주환원도 기대 충족. 최..,하나증권,110000,Buy,75509
2024-07-24,투자 매력도의 지속 상승,한화투자증권,104000,Buy,75503
2024-07-24,기대에 부응하는 주주환원 달성,미래에셋증권,110000,매수,75495
2024-07-24,총주주환원율 40% 달성 가시화,신한투자증권,105000,매수,75485
2024-07-24,연속적인 주주가치 제고 기대,SK증권,105000,매수,75484
2024-07-24,2Q24 Review: 주주환원에 실적까지 우수,IBK투자증권,110000,매수,75483
2024-07-24,더할 나위 없군요,키움증권,116000,Buy,75481
2024-09-24,견조한 펀더멘털과 밸류업 기대감,SK증권,105000,매수,77135
2024-09-27,중요한 것은 지수 편입 여부가 아니라 주주환..,하나증권,110000,Buy,77221
2024-10-11,양호한 실적과 기업가치제고계획에 대한 기대..,키움증권,120000,Buy,77441
2024-10-25,남들과는 다른 길,DS투자증권,110000,매수,77870
2024-10-25,3Q24 Review: 속도감 있는 주주환원 기대로 ..,교보증권,111000,Buy,77865
2024-10-25,"실적과 주주환원, 밸류업 공시까지 모두 예상..",하나증권,115000,Buy,77858
2024-10-25,주주환원정책이 대국적으로 좋다,한화투자증권,115000,Buy,77850
2024-10-25,50% 초과하는 총주주환원율도 충분히 기대 가..,SK증권,115000,매수,77840
2024-10-25,은행업종 내 최고의 주주환원율 약속,신한투자증권,110000,매수,77824
2024-10-25,더 잘해서 더 나누겠습니다,키움증권,126000,Buy,77819
2024-10-31,"3Q 실적: 차별화된 밸류업 공시, 추가 자사주..",삼성증권,113000,Buy,78118
2024-11-04,선진적인 주주환원 정책 제시,미래에셋증권,120000,매수,78289
2024-11-11,가보자 PBR 1배,유안타증권,118000,Buy,78609
