date,title,firm,target_price,opinion,nid
2023-01-09,늘어난 숙제,유진투자증권,220000.0,Buy,61909
2023-01-13,희망을 놓치다,유안타증권,170000.0,Hold,62002
2023-01-19,주가 바닥은 모바일 매출 하락세가 멈출 때,한화투자증권,200000.0,Buy,62120
2023-01-31,균형잡힌 시각이 필요,키움증권,250000.0,Buy,62327
2023-02-09,PUBG M 하향세 둔화 + 주주환원 정책 발표,교보증권,220000.0,Buy,62741
2023-02-09,2023년은 도움닫기의 해,하나증권,210000.0,Buy,62729
2023-02-09,주가 상승 트리거를 기다기리기,한화투자증권,220000.0,Buy,62717
2023-02-09,"예상했던 4분기 실적, 2023년에 기대할 만한 ..",대신증권,220000.0,Buy,62708
2023-02-09,TCP는 아쉽지만 중국 매출 회복세 긍정적,미래에셋증권,250000.0,매수,62697
2023-02-09,악재 해소 기대감과 주주환원 정책 발표,유진투자증권,220000.0,Buy,62692
2023-02-09,긍정적인 밸류를 조망,키움증권,250000.0,Buy,62688
2023-02-09,혹한기 돌입,신한투자증권,190000.0,,62676
2023-03-24,주가는 긍정적 신호에 탄력적일 것,한화투자증권,220000.0,Buy,63505
2023-04-07,바닥을 단단하게 다지기,유진투자증권,220000.0,Buy,63720
2023-04-25,1Q23 Preview: 나아질 일만 남았다,교보증권,250000.0,Buy,64103
2023-04-25,성수기 효과 및 비용 통제,신한투자증권,210000.0,Buy,64084
2023-05-10,펍지는 든든한 캐시카우,대신증권,270000.0,Buy,64816
2023-05-10,배틀그라운드의 저력을 보여주다,유진투자증권,260000.0,Buy,64797
2023-05-10,이익 방어 능력 증명,한화투자증권,250000.0,Buy,64789
2023-05-10,PUBG의 반격과 돋보이는 AI 딥러닝 역량,교보증권,250000.0,Buy,64783
2023-05-10,1Q23 Re: 7년차 게임에서 역대 최대 매출,하나증권,250000.0,Buy,64781
2023-05-11,PC 트래픽 수익화 전환 본격화,미래에셋증권,280000.0,매수,64845
2023-05-22,주요 투자포인트의 현실화,키움증권,250000.0,Buy,65200
