date,title,firm,target_price,opinion,nid
2023-01-04,2023년 북미 배터리 신공장 증설 가시화 전망,하이투자증권,820000.0,Buy,61845
2023-01-11,자동차전지 공격적 행보 시동,키움증권,,,61967
2023-01-16,전기차 수요보다 일회성 비용으로 부진,한화투자증권,830000.0,Buy,62042
2023-01-17,2023년 수주 모멘텀 기대,유안타증권,892000.0,Buy,62055
2023-01-31,달라지는 업황에 따른 기대감,DS투자증권,890000.0,Buy,62363
2023-01-31,4Q22 Review: 대체적으로 컨센 부합,교보증권,800000.0,Buy,62361
2023-01-31,투자 증가세 뚜렷,하나증권,1080000.0,Buy,62356
2023-01-31,성장에 대한 의구심 불식,한화투자증권,830000.0,Buy,62354
2023-01-31,2023년 EV향 성장은 지속,대신증권,850000.0,Buy,62346
2023-01-31,밸류에이션 갭 해소의 원년,미래에셋증권,1100000.0,매수,62341
2023-01-31,북미 신공장 건설 가능성 주목,하이투자증권,870000.0,Buy,62340
2023-01-31,2023년 수주 모멘텀에 주목,유안타증권,892000.0,Buy,62331
2023-01-31,프리미엄 전기차 시장 입지 강화 입증,키움증권,900000.0,Buy,62324
2023-02-21,상저하고,신한투자증권,910000.0,매수,63076
2023-03-30,투자는 이제부터,신한투자증권,910000.0,매수,63562
2023-04-03,"우리만 모를 뿐, 캐파 상향 계획은 진행 중",한화투자증권,920000.0,Buy,63616
2023-04-04,앞서 나갈 시점,키움증권,900000.0,Buy,63626
2023-04-11,1Q23 Preview: 컨센 부합 실적 예상,유안타증권,928000.0,Buy,63823
2023-04-28,볼륨 세그먼트로 포트폴리오 다변화 움직임,DS투자증권,890000.0,매수,64430
2023-04-28,1Q23 Review: 견조한 중대형 배터리 성장,교보증권,800000.0,Buy,64419
2023-04-28,자동차 전지 매출 증가 지속,하나증권,1080000.0,Buy,64402
2023-04-28,미국 진출 본격화,한화투자증권,920000.0,Buy,64368
2023-04-28,뺏길 것 보다 뺏을 것이 많다,미래에셋증권,1100000.0,매수,64311
2023-04-28,보여줘 완전히 달라진 너 목표주가(12M),하이투자증권,960000.0,Buy,64308
2023-04-28,양호한 실적 지속,신한투자증권,910000.0,매수,64305
2023-04-28,1Q23 Review: 컨센 부합 실적 기록,유안타증권,928000.0,Buy,64292
2023-04-28,자동차전지 성장 기반 강화,키움증권,900000.0,Buy,64277
2023-05-23,국내 ESS 1위 기업,SK증권,887000.0,매수,65210
2023-06-14,탐방노트: 아직 보여줄 것이 많다,이베스트증권,,,65522
2023-06-21,시장은 기술을 따른다,키움증권,900000.0,Buy,65594
2023-06-30,흔들림 없는 실적,한화투자증권,920000.0,Buy,65808
2023-06-30,"자동차전지, 업황 대비 선전 중",키움증권,,,65786
2023-07-03,시장 우려 대비 견조한 실적 예상,하이투자증권,900000.0,Buy,65818
2023-07-05,2Q23 Preview: 컨센부합,교보증권,900000.0,Buy,65882
2023-07-06,북미 사업 가치 본격 반영 필요,대신증권,900000.0,Buy,65907
2023-07-25,북미 시장 리더를 향한 행보,키움증권,,,66322
2023-07-28,"삼성SDI 2Q23 Review: 컨센부합, 안정적인 실..",교보증권,900000.0,Buy,66667
2023-07-28,하반기 실적 흐름 안정적,하나증권,1080000.0,Buy,66640
2023-07-28,불안한 시장 속 프리미엄 기반의 안정적 성장,한화투자증권,920000.0,Buy,66628
2023-07-28,우려 대비 견고한 방어력,대신증권,900000.0,Buy,66604
2023-07-28,25년 P/E 10배. 자꾸 문을 두들기는 신규 고..,미래에셋증권,1100000.0,매수,66586
2023-07-28,하반기 이익 증가세 이어질 전망,하이투자증권,900000.0,Buy,66563
2023-07-28,프리미엄의 안정감,키움증권,900000.0,Buy,66536
2023-08-11,하반기에도 이어질 호실적,이베스트증권,870000.0,Buy,67262
2023-08-29,우리 삼성 SDI 가 달라졌어요,하이투자증권,810000.0,Buy,67630
2023-09-12,양적 성장을 준비하는 질적 성장기,키움증권,900000.0,Buy,67776
2023-09-22,"같은 업황, 다른 실적",키움증권,900000.0,Buy,67925
2023-10-06,과도한 우려는 매수 기회로 활용,대신증권,900000.0,Buy,68077
2023-10-10,점점 부각될 매력,유안타증권,928000.0,Buy,68090
2023-10-27,3Q23 Review 컨센서스 부합,교보증권,650000.0,Buy,68666
2023-10-27,수익성 개선 지속,하나증권,1080000.0,Buy,68654
2023-10-27,실적 대비 과도한 저평가,이베스트증권,680000.0,Buy,68650
2023-10-27,모두가 수요 둔화를 얘기할 때도 흔들리지 않..,한화투자증권,820000.0,Buy,68642
2023-10-27,2차전지 섹터 최선호주,SK증권,680000.0,Buy,68629
2023-10-27,주가 추가 하락 시 과매도 구간 진입,하이투자증권,600000.0,Buy,68613
2023-10-27,"양호한 실적, 아쉬운 업황",키움증권,750000.0,Buy,68598
2023-11-01,전염병 시절의 밸류에이션,미래에셋증권,650000.0,매수,68905
2023-11-08,안정적인 실적은 여전히 매력,교보증권,650000.0,Buy,69232
