date,title,firm,target_price,opinion,nid
2023-01-11,4Q22 Preview: 23년에도 이익 증가세 지속,유진투자증권,90000.0,Buy,61972
2023-01-17,생산의 경쟁에서 판매의 경쟁으로,유안타증권,110000.0,Buy,62050
2023-01-30,4Q22 Review: 돋보였던 실적과 주주친화정책,교보증권,85000.0,Buy,62319
2023-01-30,실적 매력에 주주환원 매력을 더했다,하나증권,90000.0,Buy,62310
2023-01-30,불확실성에 가려진 주가,대신증권,110000.0,Buy,62294
2023-01-30,알파메일,신한투자증권,95000.0,매수,62272
2023-01-30,4Q22 Review: 2023년 영업이익 9조원 돌파 가..,유진투자증권,90000.0,Buy,62261
2023-01-30,4Q22 Review: 최대에 최대를 더해서~,하이투자증권,100000.0,Buy,62257
2023-01-30,이제는 기업가치 제값받기로 시야 확장,키움증권,100000.0,Buy,62249
2023-01-30,돋보이는 실적 방어력,미래에셋증권,100000.0,매수,62243
2023-03-14,컨콜 후기 : 가동률 100% 수준 회복,유진투자증권,100000.0,Buy,63379
2023-03-16,Peak 위에 더 있다,신한투자증권,105000.0,매수,63417
2023-03-16,차별화된 주가 상승세 중간 점검,키움증권,,,63416
2023-04-05,실적으로 증명된 경쟁력,대신증권,125000.0,Buy,63668
2023-04-06,2023년 CEO Investor Day 핵심내용,하나증권,110000.0,Buy,63701
2023-04-06,2023 CEO Investor Day 업데이트,대신증권,125000.0,Buy,63695
2023-04-06,'기아'라는 자신감,신한투자증권,105000.0,매수,63685
2023-04-06,2023 CEO Investor Day: 나는 성장주다,하이투자증권,100000.0,Buy,63683
2023-04-06,섹터 주도주로서의 면모,키움증권,115000.0,Buy,63682
2023-04-10,1Q23 Preview: 비수기에도 10% 영업마진은 기..,유진투자증권,100000.0,Buy,63756
2023-04-10,1Q23 Preview: 높아진 브랜드 경쟁력과 실적 ..,하이투자증권,120000.0,Buy,63754
2023-04-27,1Q23 Review: 완성차 영업이익률이 12.1%,교보증권,120000.0,Buy,64256
2023-04-27,난 지금 역사를 써가고 있어,하나증권,120000.0,Buy,64240
2023-04-27,"높아진 눈높이, 더 높아진 실적",대신증권,140000.0,Buy,64219
2023-04-27,높아진 실적 체력,미래에셋증권,120000.0,매수,64214
2023-04-27,1Q23 Review: 영업이익률 한계 돌파,유진투자증권,100000.0,Buy,64206
2023-04-27,1Q23 Review: K-슬라,하이투자증권,120000.0,Buy,64202
