date,title,firm,target_price,opinion,nid
2023-01-03,수요 급감 속에 비중확대 의견 유지,하나증권,78000.0,Buy,61828
2023-01-04,Rock bottom 수준에 다시 근접한 주가,키움증권,73000.0,Buy,61843
2023-01-06,단기 실적은 주가와 상관이 없음,하이투자증권,75000.0,Buy,61887
2023-01-09,삼성전자 CapEx 전망치 하향 조정,키움증권,73000.0,Buy,61902
2023-01-09,4Q22 잠정실적 Review: 비워야 채운다,미래에셋증권,80000.0,매수,61888
2023-01-09,4Q22 잠정실적 리뷰,한화투자증권,82000.0,Buy,61929
2023-01-09,고진감래(苦盡甘來),유안타증권,90000.0,Buy,61899
2023-01-09,"탄광 속 카나리아, Bad is NOT Good",대신증권,65000.0,Buy,61921
2023-01-09,Dynamic Random Access Earnings,유진투자증권,72000.0,Buy,61910
2023-01-09,반도체 딜레마,하나증권,78000.0,Buy,61925
2023-01-16,최악의 업황. 그러나 지금은 저점 분할 매수 ..,하이투자증권,75000.0,Buy,62033
2023-02-01,좀더 구체화된 감산 계획,하이투자증권,75000.0,Buy,62373
2023-02-01,우보만리(牛步萬里),유안타증권,90000.0,Buy,62379
2023-02-01,감산인 듯 감산 아닌 감산 같은...,유진투자증권,72000.0,Buy,62394
2023-02-01,"과도했던 기대감 현실화, 조정은 매수 기회",대신증권,65000.0,Buy,62404
2023-02-01,"4Q22 Review: 오해했다면, 사자.",미래에셋증권,80000.0,매수,62405
2023-02-01,"투자 축소, 감산보다 수요 회복에 대한 전망..",한화투자증권,82000.0,Buy,62408
2023-02-01,23년 하반기 수요 회복 전망 유지,하나증권,78000.0,Buy,62419
2023-02-01,1H23 DRAM 가격 전망치 추가 하향 조정,키움증권,,,62365
2023-02-03,업계 공급 조절 본격화: 음악이 나올 때는 춤..,대신증권,80000.0,Buy,62493
2023-02-03,Capex 전략 변화는 없었다,이베스트증권,80000.0,Buy,62499
2023-03-08,시장 기대치를 하회하는 상반기 실적 예상,키움증권,73000.0,Buy,63313
2023-03-14,1Q23 Preview: 깊은 반도체 적자의 골짜기,유진투자증권,72000.0,Buy,63376
2023-03-15,뻔하지만 당연한 최고의 선택,대신증권,80000.0,Buy,63398
2023-03-20,경기선행지표 반등 Vs 업황 악화 최고조,하이투자증권,75000.0,Buy,63449
2023-03-23,바닥을 지나는 중,한화투자증권,82000.0,Buy,63494
2023-03-29,우려대비 부진한 반도체,하나증권,78000.0,Buy,63556
2023-03-30,수익성 추구 전략의 당위성 점증,SK증권,80000.0,매수,63570
